state,state_abbrev,bill_number,title,legiscan_bill_url,legiscan_text_url,year,status,collection_method
Florida,FL,SB7022,Ogsr/Campus Emergency Response,https://www.flsenate.gov/Session/Bill/2024/7022,https://www.flsenate.gov/Session/Bill/2024/7022/BillText/Filed/HTML,2024.0,Other,Manual_Curated
Georgia,GA,HB60,Firearms; Certain Laws Regarding Carrying And Possession Of Firearms By Retired Judges; Provide Exemption,https://legiscan.com/GA/bill/HB60/2013,https://legiscan.com/GA/text/HB60/2013,2014.0,Passed,Manual_Curated
Georgia,GA,SB308,Weapons Carry; Revise And Clarify Laws Including School Safety Zones,https://legiscan.com/GA/bill/SB308/2009,https://legiscan.com/GA/text/SB308/id/205027,2010.0,Passed,Manual_Curated
Hawaii,HI,SCR64-2018,Requesting Federal Funding To Provide School Resource Officers In Every Middle Or Intermediate School And High School In The State That Requests School Resource Officers.,https://legiscan.com/HI/bill/SCR64/2018,https://legiscan.com/HI/text/SCR64/2018,2018.0,Passed,Manual_Curated
Idaho,ID,H0076,Amends Existing Law To Provide For Funds For The School Emergency Fund Levy To Be Included On The Base Assessment Roll.,https://legiscan.com/ID/bill/H0076/2015,https://legiscan.com/ID/text/H0076/id/1105218,2015.0,Enacted,Manual_Curated
Idaho,ID,HB514,"Education -- Amends And Adds To Existing Law To Provide The Idaho School Safety And Security Act, To Provide The Office Of School Safety And Security, The Idaho School Safety And Security Advisory Board, And To Provide Powers And Duties Of The Board.",https://legiscan.com/ID/bill/H0514/2016,https://legiscan.com/ID/text/H0514/2016,2016.0,Passed,Manual_Curated
Idaho,ID,S1116,Education -- Amends Existing Law To Revise Provisions Regarding Expulsion Or Denial Of Enrollment For Students Who Possess Dangerous Or Deadly Weapons Or Firearms On School Property.,https://legiscan.com/ID/bill/S1116/2021,https://legiscan.com/ID/text/S1116/2021,2021.0,Passed,Manual_Curated
Illinois,IL,HB1105,Amends The Criminal Code Of 1961.,https://legiscan.com/IL/bill/HB1105/2009,https://legiscan.com/IL/text/HB1105/id/73589,2009.0,Enacted,Manual_Curated
Illinois,IL,HB2768,"Amends The School Code. Provides That A Principal Shall Report To Law Enforcement Certain Incidents Involving Weapons, Drugs, Or Gang-Related Activity On School Grounds Or At School Activities.",https://legiscan.com/IL/bill/HB2768/2013,https://legiscan.com/IL/text/HB2768/id/754541,2013.0,Enacted,Manual_Curated
Illinois,IL,HB4647,"Amends The School Code. Requires The Chicago Board Of Education, In Consultation With The Chicago Police Department, To Establish The Cps Violence Prevention Hotline To Receive Anonymous Calls With Information That May Prevent Violence In Chicago Public Schools.",https://legiscan.com/IL/bill/HB4647/2009,https://legiscan.com/IL/text/HB4647/id/19067,2010.0,Enacted,Manual_Curated
Illinois,IL,SB71,Iema-School Safety,https://legiscan.com/IL/text/SB0071/2025,https://legiscan.com/IL/text/SB0071/id/3249177/Illinois-2025-SB0071-Enrolled.html,2025.0,Enacted,Manual_Curated
Indiana,IN,HB1515,Education And Higher Education Matters.,https://legiscan.com/IN/bill/HB1515/2025,https://legiscan.com/IN/text/HB1515/id/3055110,2025.0,Enacted,Manual_Curated
Indiana,IN,SB0147,"School Emergency Response Systems. Requires The Department Of Homeland Security (Department) To Establish Minimum Standards And Approve Best Practices Not Later Than July 1, 2017, For A School Emergency Response System. Defines The Term ""Emergency Response System"". Defines The Term ""School Property"". Requires The Department To Establish Emergency Response System Guidelines With Input From The Division Of School Building Safety.",https://legiscan.com/IN/bill/SB0147/2016,https://legiscan.com/IN/text/SB0147/id/1280687,2016.0,Enacted,Manual_Curated
Kentucky,KY,HB727,An Act Relating To School District Buildings.,https://legiscan.com/KY/bill/HB727/2024,https://legiscan.com/KY/text/HB727/id/2941377,2024.0,Enacted,Manual_Curated
Kentucky,KY,HR26,"A Resolution Recognizing February 14, 2025 As Making Our Schools Safe",https://legiscan.com/KY/bill/HR26/2025,https://legiscan.com/KY/text/HR26/id/3119704/Kentucky-2025-HR26-Introduced.pdf,2025.0,Enacted,Manual_Curated
Maine,ME,LD429,An Act To Protect The Health Of Students And Educators By Requiring School Emergency Management Plans To Address Health And Safety,https://legiscan.com/ME/bill/LD429/2021,https://legiscan.com/ME/text/LD429/id/2281343,2021.0,Passed,Manual_Curated
Maine,ME,LD97,"Resolve, Directing The Department Of Education To Amend The School Emergency Drill Rules",https://legiscan.com/ME/bill/LD97/2015,https://legiscan.com/ME/text/LD97/id/1076030,2015.0,Passed,Manual_Curated
Mississippi,MS,SB3044,Equity In Distance Learning Act; Enact.,https://legiscan.com/MS/bill/SB3044/2020,https://legiscan.com/MS/text/SB3044/id/2194403,2020.0,Passed,Manual_Curated
Nevada,NV,AB43,Revises Provisions Relating To School Emergency Operations Plans. (Bdr 34-238),https://legiscan.com/NV/bill/AB43/2023,https://legiscan.com/NV/text/AB43/id/2614022,2023.0,Enacted,Manual_Curated
Nevada,NV,SB38,Revises Provisions Relating To School Emergency Operations Plans. (Bdr 34-270),https://legiscan.com/NV/bill/SB38/2025,https://legiscan.com/NV/text/SB38/id/3028333,2025.0,Enacted,Manual_Curated
